,Mean
IAPF (Hz.) % Increase During,-1.9518581926314416
IAPF (Hz.) % Increase After,-8.121246916938713
Theta peak frequency (Hz.) % Increase During,-1.1857871855047988
Theta peak frequency (Hz.) % Increase After,3.500259709071163
Alpha peak frequency (Hz.) % Increase During,16.738103289426146
Alpha peak frequency (Hz.) % Increase After,3.437076704979866
Beta peak frequency (Hz.) % Increase During,-1.1114896305582052
Beta peak frequency (Hz.) % Increase After,1.7782828542189144
Baseline Alpha Gravity (Alpha1 / Alpha2 Power) % Increase During,357.0817490031864
Baseline Alpha Gravity (Alpha1 / Alpha2 Power) % Increase After,1128.906171689594
Alpha Gravity (Alpha1 / Alpha2 Power) % Increase During,330.3505001737816
Alpha Gravity (Alpha1 / Alpha2 Power) % Increase After,1523.8721887931645
Baseline Fatigue score (Alpha /Theta /Beta Power) % Increase During,-17.277963334824214
Baseline Fatigue score (Alpha /Theta /Beta Power) % Increase After,20.49081398586589
Fatigue score (Alpha /Theta /Beta Power) % Increase During,2.3919463487213286
Fatigue score (Alpha /Theta /Beta Power) % Increase After,17.14382564367998
Baseline Concentration index (Beta/ Alpha Power) % Increase During,87.80152462718624
Baseline Concentration index (Beta/ Alpha Power) % Increase After,59.486392101297255
Concentration Index (Beta/ Alpha Power) % Increase During,18.70660619405894
Concentration Index (Beta/ Alpha Power) % Increase After,30.83052235620309
Baseline Relaxation index (Alpha /Beta Power) % Increase During,63.615729074917716
Baseline Relaxation index (Alpha /Beta Power) % Increase After,110.3190868090052
Relaxation index  (Alpha /Beta Power) % Increase During,52.494072688633516
Relaxation index  (Alpha /Beta Power) % Increase After,30.582959222835687
Chill % % Increase During,55.852766263958266
Chill % % Increase After,17.859794687298187
Stress % % Increase During,-16.113651516546202
Stress % % Increase After,8.705398090369872
Focus % % Increase During,-7.709774097738749
Focus % % Increase After,5.084573651731879
Anger % % Increase During,7.503631766979606
Anger % % Increase After,12.964089960473098
Self-control % % Increase During,38.377987912464256
Self-control % % Increase After,24.207646514997947
